scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_1122.png,286.47626686136886,218.0276920517035,522.0455847798432,345.71947185797933,321.70158542861736,225.73323048828908,328.3063326599765,255.454593029405,349.2213655592803,234.5395601301012,370.1363984585841,302.7886148541452,391.0514313578879,278.5712083391618,410.8656730519652,311.5949444959573,497.82817826485996,324.8044389586755,266.6620251672916,87.03353862974808,444.99020041398717,248.8498457980459,313.9960469920318,233.43876892487467,331.608706275656,205.9189887942118,297.484178913634,202.61661517853227,334.9110798913356,143.17389009630037,299.6857613240871,138.7707252753943,322.8023766338439,117.8556923760905,416.3696290780978,107.94857152905186
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_1145.png,196.2113880327946,178.39920866354893,472.50998054465003,318.19969172731635,205.0177176746067,204.81819758898527,233.63828901049612,222.43085687260955,244.6462010627613,197.1126591523997,296.3833877084075,273.06725231302926,311.7944645815787,245.54747218236636,340.4150359174682,275.2688347234823,451.5949476453463,278.5712083391618,146.67578379760135,162.9881317903777,369.03560725335757,323.703647753449,175.29635513349078,177.2984174583224,165.38923428645214,198.21345035762621,188.50584959620898,187.20553830536105,208.32009129028626,275.2688347234823,230.33591539481657,254.35380182417853,252.35173949934688,277.47041713393537,351.4229479697333,231.23718651442198
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_311.png,129.0631245139771,151.98021973811268,398.7569697944735,271.96646110780307,145.57499259237485,172.8952526374165,166.49002549167864,193.8102855367203,177.4979375439438,166.29050540605738,231.4367066000431,229.03560410396886,240.24303624185524,207.01977999943853,272.16598119342416,223.53164807783628,376.74114568994315,252.1522194137258,197.3121792380211,158.5849669694718,385.5474753317553,354.5258014997918,266.6620251672916,329.2076037795818,239.1422450366287,301.6878236489189,263.35965155161205,297.2846588280128,227.033541779137,248.84984579804615,265.5612339620651,248.84984579804615,262.2588603463855,229.03560410396886,349.2213655592803,193.81028553672041
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_33.png,235.83987142094915,202.61661517853247,461.5020684923849,344.61868065275314,433.982288361722,331.409186190035,413.0672554624182,315.99810931686375,437.2846619774015,298.38545003323947,365.73323363767804,296.1838676227864,376.74114568994315,264.26092267121743,341.51582712269465,277.4704171339356,252.35173949934688,220.22927446215675,162.08686067077258,132.1659780440354,376.74114568994315,268.66408749212354,179.69951995439683,154.18180214856574,194.00980562234156,169.59287902173696,200.61455285370064,150.8794285328862,245.74699226798782,207.01977999943853,256.75490432025293,175.0968350478696,271.06518998819763,198.2134503576264,363.531651227225,252.1522194137258
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_402.png,206.11850887983323,197.11265915239989,462.6028596976114,336.91314221616756,219.32800334255143,231.23718651442186,231.4367066000431,221.33006566738322,245.74699226798782,216.92690084647717,282.0731020404628,285.1759555705212,299.6857613240871,259.8577578503113,326.1047502495235,288.47832918620077,440.5870355930811,321.50206534299633,138.97024536101574,103.54540670814595,254.55332190979993,308.292570880278,233.63828901049612,291.78070280188024,189.60664080143547,273.0672523130294,207.21930008505973,256.55538423463173,179.69951995439683,241.1443073614605,203.9169264693802,230.13639530919534,190.707432006662,216.9269008464771,179.69951995439683,110.15015393950512
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_418.png,89.43464112582254,246.64826338759298,247.94857467844082,345.71947185797956,103.74492679376726,278.57120833916196,143.37341018192183,299.48624123846577,140.07103656624227,266.4625050816703,184.10268477530292,319.3004829325431,209.42088249551276,290.6799115966537,224.83195936868398,322.6028565482227,,,153.28053102896047,204.8181975889854,372.3379808690371,310.4941532907311,,,,,,,207.21930008505973,233.43876892487486,234.73908021572262,260.9585490555378,249.04936588366735,236.74114254055445,355.8261127906394,269.76487869735
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_581.png,112.55125643557938,143.1738900963005,322.8023766338439,259.8577578503114,134.56708054010969,202.6166151785324,167.59081669690516,186.10474710013466,149.9781574132809,166.29050540605738,223.73116816345748,186.10474710013472,217.12642093209837,159.68575817469832,243.54540985753476,171.79446143219002,301.8873437345401,244.4466809771401,46.503784121988424,260.9585490555377,183.0018935700764,357.82817511547114,,,,,,,96.03938835718165,322.6028565482226,142.2726189766953,323.70364775344916,115.8536300512589,287.37753798097407,,
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_633.png,100.4425531780877,252.15221941372556,394.35380497356743,329.2076037795819,124.65995969307104,288.4783291862006,159.88527826031955,292.8814940071067,157.68369584986652,268.6640874921234,227.033541779137,303.88940605937194,220.42879454777793,268.66408749212343,252.35173949934688,284.07516436529465,369.03560725335757,287.3775379809743,164.2884430812256,99.14224188723992,305.18971735021967,230.1363953091954,181.90110236484986,205.918988794212,214.92483852164534,204.81819758898547,201.71534405892714,181.70158227922866,272.16598119342416,179.49999986877566,254.55332190979993,158.58496696947185,280.97231083523627,148.6778461224332,239.1422450366287,113.4525275551847
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_654.png,66.31802581606573,245.54747218236645,351.4229479697333,332.50997739526144,86.13226751014301,289.5791203914271,123.55916848784454,296.18386762278624,120.25679487216499,266.4625050816703,199.51376164847412,304.9901972645984,190.707432006662,276.369625928709,221.52958575300445,285.1759555705211,328.3063326599765,306.090988469825,389.9506401526614,90.33591224542795,617.8144196345502,325.9052301639025,571.5811890150364,117.85569237609099,538.557452858241,129.96439563358263,558.3716945523183,155.2825933537925,506.63450790667207,203.71740638375917,531.9527056268819,227.93481289874256,502.23134308576596,236.74114254055462,424.07516751468336,317.0989005220902
labeled-data,0023,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_844.png,123.55916848784454,54.00980247295274,328.3063326599765,254.3538018241788,142.2726189766953,67.21929693567094,157.68369584986652,96.94065947678689,173.09477272303775,78.22720898793614,207.21930008505973,151.98021973811274,225.9327505739105,132.16597804403546,236.94066262617565,156.3833845590188,306.29050855544614,236.7411425405545,370.1363984585841,103.54540670814612,540.759035268694,300.5870324436926,395.45459617879396,135.4683516597151,413.0672554624182,145.37547250675374,421.8735851042303,123.35964840222346,467.0060245185175,176.19762625309625,479.11472777600915,154.18180214856596,492.3242222387273,187.20553830536142,512.1384639328046,288.4783291862009
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_1018.png,143.37341018192183,198.21345035762636,345.91899194360076,312.6957357011841,178.59872874917033,289.5791203914272,164.2884430812256,232.33797771964834,196.2113880327946,240.04351615623398,199.51376164847412,212.52373602557105,233.63828901049612,233.43876892487492,251.25094829412035,245.54747218236662,317.2984206077113,237.84193374578103,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_104.png,,,,,,,,,,,,,,,,,135.6678717453362,28.691604752742876,301.8873437345401,336.91314221616744,206.11850887983323,46.30426403636719,238.04145383140218,87.0335386297483,180.80031115962336,74.92483537225658,170.89319031258472,251.0514282084991,220.42879454777793,249.95063700327262,236.94066262617565,282.9743731600681,269.96439878297116,260.95854905553784,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_132.png,108.14809161467332,14.38131908479815,289.77864047704844,339.11472462662044,121.35758607739149,30.893187163195904,170.89319031258472,45.20347283114066,185.20347598052942,55.1105936781793,160.98606946554608,226.83402169351575,208.32009129028626,234.5395601301014,205.0177176746067,275.2688347234825,,,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_148.png,284.27468445091586,224.6324392830628,502.23134308576596,315.9981093168638,307.39129976067267,290.67991159665377,347.01978314882723,253.25301061895226,351.4229479697333,234.5395601301015,447.19178282444017,273.06725231302966,452.69573885057275,232.33797771964856,479.11472777600915,260.95854905553796,,,302.9881349397666,181.70158227922872,435.0830795669485,263.16013146599096,407.5632994362856,235.64035133532803,369.03560725335757,218.02769205170375,400.95855220492655,200.41503276807953,347.01978314882723,222.4308568726098,356.92690399586587,203.71740638375906,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_321.png,220.42879454777795,169.59287902173676,422.97437630945683,242.24509856668678,241.34382744708176,200.41503276807921,269.96439878297116,192.70949433149363,252.35173949934688,183.90316468968146,307.39129976067267,203.71740638375874,300.7865525293136,182.80237348445493,321.7015854286174,193.8102855367201,396.5553873840205,192.70949433149357,317.29842060771136,172.8952526374163,446.0909916192137,260.95854905553756,326.1047502495235,201.51582397330574,350.3221567645068,191.6087031262671,347.0197831488273,182.80237348445493,387.7490577422084,209.22136240989133,391.0514313578879,194.91107674194663,406.46250823105913,212.52373602557086,421.87358510423036,251.05142820849895
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_510.png,165.38923428645214,182.802373484455,312.89525578680525,285.17595557052096,296.38338770840755,235.64035133532772,283.1738932456893,212.5237360255709,286.4762668613689,203.71740638375874,234.73908021572265,233.43876892487472,219.32800334255143,214.7253184360239,209.42088249551279,245.54747218236636,265.5612339620651,276.36962592870884,318.39921181293784,94.73907706633369,415.26883787287125,237.84193374578072,367.93481604813104,102.44461550291928,359.1284864063189,117.8556923760905,373.4387720742636,113.45252755518445,369.03560725335757,180.60079107400193,387.7490577422084,182.80237348445493,367.93481604813104,193.8102855367201,332.70949748088253,230.13639530919514
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_576.png,203.9169264693802,153.08101094333907,287.5770580665954,240.04351615623378,279.8715196300098,189.40712071581405,257.85569552547946,164.08892299560418,267.7628163725181,162.9881317903777,229.23512418959007,207.01977999943833,222.63037695823098,194.91107674194663,220.42879454777795,221.33006566738302,,,242.44461865230824,182.802373484455,336.0118710965621,254.35380182417848,267.7628163725181,224.63243928306255,274.3675636038772,213.62452723079738,260.0572779359325,211.42294482034433,291.9802228875015,213.62452723079738,296.38338770840755,198.21345035762616,304.08892614499314,215.82610964125044,296.38338770840755,247.74905459281942
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_635.png,217.5127460297354,178.9616618599423,371.082657913594,256.38827481531393,227.35148690251742,214.89445461271143,231.20142898317127,197.7836009209166,239.75685582906868,192.22257347108328,271.83970650118397,209.76119850517298,280.3951333470814,193.50588749796788,296.2226730119916,205.0557137399294,360.8161456985171,227.2998235392627,330.0166090532864,176.82280514846792,434.82058791552976,249.54393333859596,420.704133619799,226.01650951237806,390.3323683168632,208.05011313599348,401.8821945588247,196.92805823632685,356.5384322755684,206.7667991091089,374.9325999942479,190.5114881019038,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_949.png,229.06257227169692,183.66714662518586,436.53167328470926,257.6715888421985,242.75125522513278,221.73879608942937,246.60119730578663,203.34462837074992,255.5843954939789,196.500286894032,295.79490166969674,223.87765280090372,312.0502126769019,207.6223417936986,327.44998099951715,220.88325340483962,423.6985330158631,243.55513454646777,308.200270596248,172.11732038322435,406.1599079817734,246.121762600237,319.7500968382095,200.7780003169807,344.98860603360686,188.37263139042943,337.7164932145941,181.5282899137115,382.6324841555555,210.18896984746786,377.0714567057222,188.8004027327243,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_986.png,242.0968929046374,157.163229917286,420.3415368616027,240.17430696010126,253.30084195336093,184.1545617164836,277.7458216960305,174.47842390167693,274.1809288168912,166.83936773209268,313.3947504874235,212.67370474959804,322.052347479619,196.886321999124,329.1821332378976,216.747868040043,405.57269493373985,228.97035791137773,220.70753562980158,72.11507122924829,300.15371979347753,240.17430696010126,258.9028164777227,87.90245397972234,248.2081378403048,90.95807644755604,267.56041346991816,95.03223973800095,240.56908167072055,148.50563292509054,257.8842756551115,149.01490333639617,250.24521948552726,169.89499019992638,292.5146636238933,229.47962832268334
labeled-data,0023,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1016.png,223.29779082163992,208.04410667494898,501.1177395311331,283.2714922504418,248.62186121339,260.92672425772116,273.20110600538266,231.133700267427,278.41488520368415,219.21649067130932,349.1733171806328,245.28538666281668,356.62157317820635,225.17509546936816,379.7111667706844,241.56125866402994,478.02814593865514,260.92672425772116,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1061.png,144.54966921641886,194.4603223474898,408.62865839944277,309.708667337769,380.3889977064605,214.30440823985572,355.20227330461137,208.96176973037262,387.25810436151016,228.80585562273853,306.3552926464797,242.54406893283806,328.4890807571956,268.49402740747047,290.3273771180303,275.3631340625202,178.13196841888436,267.7307933346872,368.1772525419275,161.6412572178076,473.5035545860237,328.7895191573516,405.5757221083095,177.66917274625706,392.6007428709934,183.0118112557402,414.7345309817092,186.82798161965673,393.3639769437766,242.54406893283806,430.7624465101586,241.01760078727142,418.5507013456257,266.20432518912054,447.55359611139136,318.10424213838536
labeled-data,0023,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_23.png,196.18328579360764,207.8553741993823,455.49227007882405,336.11573201787644,346.7497927979269,317.29491864233654,359.29700171495347,251.07353824691836,405.30343441071767,258.04420986748875,374.6324792802082,239.22339649194885,411.57703886923093,237.82926216783477,342.5673898255846,283.1386277015419,216.39823349326159,289.4122321600552,128.75144033960393,200.72165405022923,303.9985358483018,297.16636433018374,,,145.60966205520575,217.18782409802634,164.0360904420263,208.9547390741278,165.9963487810498,249.7281125258159,194.6161205307924,231.30168413899528,202.84920555469094,253.6486292038628,286.7482624648953,281.8763492858007
labeled-data,0023,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_423.png,65.39238133681597,93.14712593648474,257.1428186491951,304.33769975057976,85.71616040679163,116.12183271123988,133.43285909282145,130.26011380339688,113.1090800228458,109.9363347334212,164.36034898191485,248.66821795021164,136.08378679760088,235.41357942631444,182.1025846504346,244.43688202641545,234.43768339336418,257.0694920678123,1.6367269161947657,3.5149619512048105,205.5631461558858,313.0139079654266,1.6367269161947657,58.55704856014799,34.120581308357934,24.268535590642472,44.04620348374113,22.463877013300106,52.16716708178192,165.93423391202083,80.1393750305891,154.20395315929528,81.04170431926029,188.49246612880086,191.1258775371466,292.260334325989
labeled-data,0023,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_537.png,156.83736456764103,213.7576862115946,323.7682829718129,343.69310378024767,278.65181853825294,333.7674816048644,243.46097628007615,275.11607784123635,291.2844285796497,270.60443139788043,204.6608168672146,263.3857970885106,244.36330556874736,232.70660127368996,194.7351946918314,255.2648334904698,183.907243227777,261.5811385111682,51.26483779311072,147.88764813859683,201.0514997125298,336.47446947087775,138.39201423205563,155.57550993738388,133.8886843362798,172.3021638359798,110.08536917289331,154.9321770951302,87.35800933995868,228.19495483033364,128.86515661883385,223.68330838697773,114.42788800009465,259.77647993382567,173.07929176372264,313.9162372540966
labeled-data,0023,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_985.png,354.5985826968006,195.0960023442716,493.32723010077433,340.83901956080587,398.24355041939907,230.16785140707395,394.3466783013099,213.02161408748168,432.53602505858356,214.58036293471736,457.47600661435416,266.798449317112,406.03729465557734,274.5921935532903,467.6078741213859,266.798449317112,476.18099278118206,268.35719816434766,470.7253718158573,213.02161408748168,577.4996678515,324.47215666483146,,,,,,,503.45909760780614,248.0934631502841,540.0896955178441,247.31408872666623,521.3847093510162,280.0478145186151,491.76848125353865,322.1340333939779
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_143.png,433.3153994822014,93.77733322010867,636.7321240464552,271.47470180497396,616.4683890323915,130.40793113014672,576.7202934278822,119.49668919949708,582.175914393207,157.68603595677075,524.5022070454876,153.7891638386816,543.9865676359333,180.28789424168787,517.4878372329271,177.1703965472165,455.9172577671185,258.22533660347085,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_475.png,201.34662821813586,123.98931695918077,333.7771072395667,329.4613488429472,262.7834483827172,308.98240878808673,225.92135628396838,293.28188807936044,249.1308216794769,283.0424180519302,212.2687295807281,235.94085592575118,251.86134702012495,240.0366439367233,246.40029633882884,212.04875919508066,307.15448516824813,137.64194366242106,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_490.png,191.1622295974852,249.74330942235633,434.37173697580624,334.7815987154756,208.16988745610905,268.45173306684256,213.2721848136962,286.3097738183976,220.92563085007694,262.4990528163242,283.00358203405403,315.22279217805817,284.7043478199164,282.05785935374166,311.06621750078335,301.6166658911591,420.76561068890726,321.1754724285765,392.7029752221779,135.7920017695765,539.8192156992742,318.6243237497829,423.3167593677008,300.7662829982279,461.58398954960444,302.46704878409025,453.9305435132237,276.9555619961545,516.0084946972008,252.29445810114987,480.2924131940907,248.04254363649392,500.7016026244394,225.9325884202829,436.9228856545999,148.5477451635444
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_612.png,192.01261249041642,148.5477451635444,315.3181319654393,350.08849078823704,231.13022556525127,157.05157409285633,214.9729505995586,166.40578591509944,237.9332887087008,169.80731748682422,208.16988745610905,229.3341199920077,241.33482028042556,230.18450288493887,231.13022556525127,265.0502014951178,297.4600912138843,338.18313028720036,248.1378834238751,197.8699529535536,459.8832237637421,310.120494820471,262.5943926037054,209.77531345459028,263.44477549663657,236.98756602838841,286.40511360577875,224.23182263442055,304.26315435733386,290.56168828305357,324.67234378768245,253.9952238870123,348.4830647897559,284.6090080325352,441.1748001192558,247.19216074356274
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_649.png,180.1072519893797,261.648669923393,436.9228856545999,348.3877250023747,194.56376116920998,283.758625139604,198.81567563386594,301.6166658911591,208.16988745610905,279.50671067494807,263.44477549663657,328.8289184649572,268.54707285422376,285.45939092546644,300.86162278560903,313.52202639219576,419.0648449030448,306.7189632487462,277.90128467646684,72.01328479973705,447.97786326270534,257.39675545873706,425.01752515356316,95.82400580181044,386.7502949716595,101.77668605232878,408.0098672949393,124.73702416147107,365.4907226483797,157.9019569857876,398.6556554726962,169.80731748682427,373.1441686847604,187.66535823837927,296.6097083209531,239.538714707182
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_7.png,219.38376781562067,243.93729331288637,471.221899769667,345.5561886627646,443.82898015361286,274.8647832019797,425.2724862201568,271.33021292894045,444.71262272187266,295.1885622719554,370.48664698804845,283.7012088845778,379.3230726706466,322.58148188800953,339.5591570989551,309.3268433641124,245.893044863415,324.3487670245292,157.52878803743386,122.87826146129218,360.76657873719057,247.47186358592558,177.85256710740953,140.5511128264884,186.68899279000766,156.456679055165,199.9436313139048,134.36561484866974,222.03469552040013,190.03509664903788,241.47483202211595,161.75853446472388,252.96218540949354,197.9878797633763,348.3955827815532,234.21722506202858
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_913.png,148.69236235483575,46.00135802268866,311.2825949146411,272.2138554972005,176.96892453914973,52.18685600050736,176.08528197088992,91.95077157219887,200.82727388216466,81.34706075308114,214.0819124060618,152.9221087821259,237.05661918081694,136.13289998518948,237.94026174907674,172.36224528384176,296.2606712542243,256.3082892685238,122.13627680694796,-0.09804616291216206,249.61213681081944,97.43381988031838,161.06346895578122,-0.09804616291216561,140.9582158679223,20.00720692494676,171.75775251315298,11.879551421344221,,,211.11271600428108,65.77874055049794,,,,
labeled-data,0023,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_971.png,409.55422977720633,67.29767182270592,540.1553515140691,284.60937438486303,486.6303016219122,82.28468579250998,478.0662936391671,114.39971572780408,500.546814593873,116.54071772349042,474.8547906456377,160.43125863505898,506.96982058093187,159.36075763721587,483.41879862838283,192.54628857035314,433.1052517297553,272.8338634085884,169.7620062603435,111.18821273427417,292.8696210123043,215.02680952505872,244.69707610936314,201.11029655309787,215.7935491675984,194.68729056603897,232.92156513308862,179.7002765962351,195.45403020857879,158.2902566393723,228.63956114171606,148.65574765878412,220.07555315897096,133.66873368898015,278.9531080403435,164.71326262643126
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_1026.png,161.1979982775984,166.8542646221173,335.68966092602983,342.4164282683921,208.30004218269644,325.28841230290175,192.2425272150494,264.26985542584293,242.55607411367686,268.5518594172155,215.7935491675984,226.80232050133313,263.96609407053955,250.35334245388222,255.40208608779452,226.80232050133318,306.78613398426506,185.0527815854509,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_1049.png,74.48741745230424,1.997110954274035,265.0365950683827,317.7949053179999,,,,,,,146.21098430779446,105.8357077450585,194.38352921073565,101.553703753686,175.11451124955917,152.93775165015657,238.2740701223043,306.0193943417253,,,,,88.79460131440614,1.766717373939187,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_122.png,222.55899086058537,159.15719176321855,335.74841011195525,238.92878247370797,288.31665347328595,181.79507561349263,280.7706921898613,174.24911433006795,309.87654285449923,175.32710879912864,282.92668112798265,205.51095393282722,307.7205539163779,210.90092627813058,278.61470325173997,197.9649926494026,243.04088577273805,213.05691521625184,,,,,,,,,,,,,,,,,,
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_169.png,307.7205539163779,225.99284884497993,447.85983489426445,326.246334467622,342.21637692631924,316.5443842460759,351.9183271478652,254.02070504055732,393.9601114412312,268.03463313834595,379.94618334344256,240.00677694276865,427.37793998211185,268.03463313834607,412.2860174152625,237.85078800464734,,,227.996131416859,179.3739736728738,339.81292006463855,233.53523067414204,320.59440951580143,223.75126166746134,301.3758989669643,199.29133915075954,326.5346764127147,195.4476370409921,280.5325921645947,203.30402793355995,297.73637501571545,189.35597921378863,273.07227434049514,199.64076661528384,242.32265746235572,214.66614758982922
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_320.png,191.45535050375184,229.94439266800467,469.7005736077042,344.2121525041985,209.53160629704806,284.8187406119396,218.56973419369615,267.38806538268966,252.13992352410338,246.08390676916198,329.60959120965856,309.3508020456987,339.9388802343993,264.80574312650447,383.83835858954717,293.85686850858764,449.0419955582228,286.1099017400321,274.91834325166155,193.32745600838712,373.5636981793713,254.0654256363656,324.02563784449524,225.20412091952477,311.1026655832232,203.66583381740475,347.7177536568272,201.08123936515034,,,357.3318877866962,212.36254111940343,314.11802577751996,214.86574311050714,281.81059512433995,219.60416627297354
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_344.png,124.86673944193294,194.15986267266138,480.8094754219012,344.5387705091596,139.35278102251306,254.8632750103304,202.1256278716935,238.99761042207598,187.6395862911134,210.71533876475291,260.75960569785104,301.7704572712564,272.4864012630826,261.76139004870186,305.5973534472657,310.0481953173022,455.9762612837639,319.0157448671851,267.65772073622253,202.43760071870716,451.837392260741,343.1591475014853,336.63887111993733,279.69648914846766,294.5603693858713,234.8587413990531,349.74528969284313,227.96062636068163,331.12037908924015,216.92364229928725,375.9581268386547,252.1040289949818,384.2358648847005,262.451201552539,417.34681706888364,248.65497147579603
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_362.png,147.63051906855884,227.27081485684448,475.290983391204,339.0202784784624,164.87580666448753,290.73347320986204,191.7784553141363,265.21044756788757,202.81543937553067,241.06704493358743,312.49546848563716,294.87234223288493,324.91207555470584,257.62252102567896,360.7822737542375,285.21498117916485,444.9392772223695,256.9327095218418,247.65318712494525,133.45645033499235,402.8607754883035,245.89572546044747,375.9437187951131,152.39764457139233,360.6893636406977,154.055726653394,378.5966501263158,164.00421914540402,327.5277220006643,191.52838170663182,348.4195562338854,209.43566819224986,326.5328727514633,220.04739351706058,266.5103013830027,233.312050173074
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_392.png,136.12258703645685,224.69994862176665,461.658223662331,335.1366501822073,153.44599120280049,287.49728872476226,172.93482088993707,262.9557994891088,181.5965229731089,238.41431025345534,282.6497139434468,288.9409057386243,285.5369479711707,245.63239532276518,322.34918182465094,282.4446291762454,432.7858833850916,257.9031399405919,199.6902180580884,173.77387389621714,320.2833058583317,246.95822870628848,300.4913105323376,209.21535389857874,282.08015208955237,192.64531130007202,301.87214741554646,189.42335857258462,253.5428565032352,211.9770276649965,255.84425130858335,192.1850323390024,242.03588247649444,214.7387014314143,215.33970273445584,229.92790714671213
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_497.png,236.80477296967686,186.2944294286637,368.43362471357784,258.3246621885206,247.77384394833527,236.0208845319152,245.5800297526036,210.79202128100084,276.65906419213576,216.64219246961866,270.44325730422935,197.62913610661076,295.30648485585505,218.83600666535034,305.90992013522487,224.32054215467954,354.1738324413219,227.24562774898845,199.14429594294964,179.71298684146865,300.7910203451843,269.293733167179,,,,,,,221.08243790026648,206.03875719024887,241.55803706042883,224.68617785396816,221.44807359955507,224.68617785396816,290.5532207651031,254.66830519563447
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_590.png,325.3455537142278,192.81646094610977,464.1704868141768,340.5786214988452,340.2409328022051,239.29004370059917,350.36979058202974,213.074176505759,366.4567999970453,202.3495035624153,388.5019610472518,242.26911951819466,422.46342536784016,223.7988494491027,419.4843495502447,258.3561289332102,408.16386144338196,332.23720920957794,211.54485748208066,156.471735971445,419.4843495502447,239.88585886411826,395.05592784596183,180.90015767572788,365.86098483352623,167.7922240783078,375.3940274498317,181.49597283924697,316.40832626144135,196.39135192722435,327.13299920478505,219.03232814094994,302.7045775005022,219.03232814094994,227.03605173357712,233.33189206540823
labeled-data,0023,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_804.png,349.08383682956133,181.6100981307491,421.1245129902105,271.82617424018594,,,363.95167267554143,192.15662443530215,391.17399644232546,189.39993342094428,367.3975364434888,206.629252260681,397.031964847836,206.629252260681,382.9039233992519,220.75729370926513,369.1204683274625,259.6955542870701,288.14266978069986,97.73995719354492,436.6593981792304,240.39871718656497,415.29504281795687,108.07754849738696,387.7281326743781,112.21258501892376,397.7211376014254,119.79348530840792,378.4543052396491,178.42211897419674,397.6889673122622,188.8830755400039,375.0798031216468,189.55797596360435,305.227609278999,232.75160307403388
